Product Name,Price,Miles,Dealername,Rating,Location,Reviews
2018 MINI Hardtop S,18998,40303,CarMax Warner Robins,0.0,Location not found,4
2014 Acura TSX 2.4,13999,93500,McGrath Acura of Morton Grove,4.6,"Morton Grove, IL (15 mi.)",795
1992 Volkswagen Corrado SLC,11000,143900,Not found,0.0,"Glenview, IL (17 mi.)",0
2017 Audi RS 7 4.0T Prestige,49500,41448,Audi Westmont,4.7,"Westmont, IL (18 mi.)",1729
2021 Buick Envision AWD Preferred,23777,36224,Tasca Ford Midlothian,4.6,"Midlothian, IL (19 mi.)",1192
2024 Nissan Murano SL,35908,331,Lexus Of Orland,4.7,"Orland Park, IL (22 mi.)",2713
2006 Pontiac Vibe Base,5500,128580,EMH Motors,0.0,"Rolling Meadows, IL (23 mi.)",6
2016 Ford Edge SEL,14562,77790,Webb Hyundai Highland,4.5,"Highland, IN (25 mi.)",1084
2024 Honda Ridgeline Black,46400,0,Bosak Honda,4.5,"Highland, IN (26 mi.)",694
2014 Ford Escape SE,11000,78125,Thomas Dodge Chrysler Jeep RAM of Highland,4.8,"Highland, IN (26 mi.)",3221
2021 Chevrolet Blazer 2LT,23491,32234,All In Auto,0.0,"Palatine, IL (28 mi.)",4
2018 Dodge Grand Caravan SXT,13749,97292,Fair Oaks Ford,4.7,"Naperville, IL (30 mi.)",3772
2018 Audi A5 2.0T Premium,15295,109088,Fair Oaks Ford,4.7,"Naperville, IL (30 mi.)",3772
2018 Lexus GS 350 F Sport,31949,41011,Auto's of Chicago,4.0,"Arlington Heights, IL",83
2018 Nissan Murano SL,18995,67464,High Quality Auto Group,0.0,"Chicago, IL (6 mi.)",0
2020 Chevrolet Equinox L,19896,83956,Windy City Motors,0.0,"Chicago, IL (7 mi.)",768
2019 Chevrolet Equinox 1LT,17896,88334,Windy City Motors,0.0,"Chicago, IL (7 mi.)",768
2023 Lexus NX 250,36998,21535,CarMax Huntsville,0.0,Location not found,4
2025 Mazda Mazda3 2.5 Turbo AWD,37903,0,McGrath City Mazda,4.6,"Chicago, IL (9 mi.)",727
2019 Audi S3 2.0T Premium Plus,31999,35239,Subaru Evergreen Park,4.8,"Evergreen Park, IL (12 mi.)",35
2021 Lexus RX 350 F-SPORT Handling,44998,15922,CarMax Colorado Springs,0.0,Location not found,13
2018 Aston Martin DB11 V12,101999,20075,Glenview Luxury Imports,4.8,"Glenview, IL (15 mi.)",470
2022 Subaru BRZ Limited,25967,43531,Grand Subaru,4.9,"Bensenville, IL (17 mi.)",3896
2007 Audi S8 5.2 quattro,19995,76773,Highline Auto Sales,4.5,"Willowbrook, IL (18 mi.)",363
2017 BMW 340 i,23985,66748,Xchange Motors,5.0,"Addison, IL (19 mi.)",12
2010 Honda Accord Crosstour EX-L,9950,148231,Zone Motors,0.0,"Addison, IL (19 mi.)",53
2005 Lexus SC 430 Base,23950,78417,Net Motorcars,4.7,"Addison, IL (20 mi.)",127
2024 Cadillac CT4-V Blackwing,87210,0,"Napleton Cadillac of Northbrook, Rolls-Royce Motor Cars Northbrook, Bentley Northbrook",0.0,"Northbrook, IL (21 mi.)",285
1998 Cadillac Eldorado Touring,7400,89211,Lazychimp.com,5.0,"Downers Grove, IL (21 mi.)",10
2002 BMW Z3 3.0i,12800,56000,Chicago Motors Direct,3.9,"Addison, IL (21 mi.)",54
2024 Lexus IS 500 F SPORT Performance Premium,68920,0,Lexus Of Orland,4.7,"Orland Park, IL (22 mi.)",2713
2011 Mercedes-Benz CL-Class CL 63 AMG,31900,41411,Acura Highland Park,4.5,"Highland Park, IL (25 mi.)",432
2022 Kia Telluride S,29495,44512,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,4.4,"Arlington Heights, IL (26 mi.)",3364
2023 Dodge Challenger R/T Scat Pack,47500,12464,Thomas Kia of Highland,4.3,"Highland, IN (26 mi.)",1058
2024 Audi S8 4.0T,137235,0,Audi Naperville,4.7,"Naperville, IL (30 mi.)",993
2024 Lexus TX 350 Luxury,64977,24296,Victory Toyota of Midtown,4.5,"Chicago, IL",952
2024 Maserati GranCabrio Trofeo,225000,0,Bentley Bugatti Lamborghini Maserati Rolls-Royce of Chicago,0.0,"Chicago, IL (2 mi.)",58
2024 Audi S8 4.0T,145925,0,Fletcher Jones Audi,4.2,"Chicago, IL (3 mi.)",1150
2016 Porsche Cayman Base,43994,57392,Porsche Lincolnwood,4.5,"Lincolnwood, IL (11 mi.)",87
2020 Mercedes-Benz AMG C 43,37998,50911,CarMax Milwaukee,0.0,Location not found,2
2024 Hyundai IONIQ 5 SEL,53342,0,Ettleson Hyundai,0.0,"Countryside, IL (14 mi.)",744
2019 Mercedes-Benz GLC 350e,26998,35913,CarMax Milwaukee,0.0,Location not found,2
2024 Audi S8 4.0T,142320,0,Audi Morton Grove,4.8,"Morton Grove, IL (15 mi.)",760
2014 Porsche Cayman S,54500,29500,Not found,0.0,"Winnetka, IL (17 mi.)",0
2006 Mercury Milan V6 Premier,3995,127801,Cars147.com,3.8,"Midlothian, IL (19 mi.)",56
2015 Porsche Cayman Base,31899,77400,Ultimo Motors North Shore,3.2,"Northbrook, IL (19 mi.)",88
